Season,Date,Left,Joined,MV,Fee,player
18/19,"Jul 1, 2018",Monaco,Paris SG,€120.00m,€145.00m,Kylian Mbappé
17/18,"Jun 30, 2018",Paris SG,Monaco,€120.00m,End of loan,Kylian Mbappé
17/18,"Aug 31, 2017",Monaco,Paris SG,€35.00m,loan transfer,Kylian Mbappé
15/16,"Dec 1, 2015",Monaco U19,Monaco,-,-,Kylian Mbappé
15/16,"Jul 1, 2015",Monaco Youth,Monaco U19,-,-,Kylian Mbappé
13/14,"Jul 1, 2013",AS Bondy Youth,Monaco Youth,-,free transfer,Kylian Mbappé
12/13,"May 14, 2013",Leicester,Spurs,€500Th.,End of loan,Harry Kane
12/13,"Feb 21, 2013",Spurs,Leicester,€500Th.,loan transfer,Harry Kane
12/13,"Feb 1, 2013",Norwich,Spurs,€500Th.,End of loan,Harry Kane
12/13,"Aug 31, 2012",Spurs,Norwich,-,loan transfer,Harry Kane
11/12,"May 31, 2012",Millwall,Spurs,-,End of loan,Harry Kane
11/12,"Jan 1, 2012",Spurs,Millwall,-,loan transfer,Harry Kane
10/11,"May 31, 2011",Leyton Orient,Spurs,-,End of loan,Harry Kane
10/11,"Jan 7, 2011",Spurs,Leyton Orient,-,loan transfer,Harry Kane
10/11,"Jan 1, 2011",Spurs U18,Spurs,-,-,Harry Kane
09/10,"Jul 1, 2009",Tottenham Yth.,Spurs U18,-,-,Harry Kane
19/20,"Jan 1, 2020",RB Salzburg,Bor. Dortmund,€45.00m,€20.00m,Erling Haaland
18/19,"Jan 1, 2019",Molde,RB Salzburg,€5.00m,€8.00m,Erling Haaland
16/17,"Feb 1, 2017",Bryne FK,Molde,€200Th.,€100Th.,Erling Haaland
15/16,"Sep 8, 2015",Bryne FK U19,Bryne FK,-,-,Erling Haaland
17/18,"Jul 1, 2017",AS Roma,Liverpool,€35.00m,€42.00m,Mohamed Salah
16/17,"Jul 1, 2016",Chelsea,AS Roma,€23.00m,€15.00m,Mohamed Salah
15/16,"Jun 30, 2016",AS Roma,Chelsea,€23.00m,End of loan,Mohamed Salah
15/16,"Aug 6, 2015",Chelsea,AS Roma,€18.00m,Loan fee:€5.00m,Mohamed Salah
14/15,"Jun 30, 2015",Fiorentina,Chelsea,€12.00m,End of loan,Mohamed Salah
14/15,"Feb 2, 2015",Chelsea,Fiorentina,€13.00m,loan transfer,Mohamed Salah
13/14,"Jan 26, 2014",FC Basel,Chelsea,€8.50m,€16.50m,Mohamed Salah
12/13,"Jul 1, 2012",El Mokawloon,FC Basel,€1.50m,€2.50m,Mohamed Salah
09/10,"May 1, 2010",Mokawloon U23,El Mokawloon,-,-,Mohamed Salah
17/18,"Aug 3, 2017",FC Barcelona,Paris SG,€100.00m,€222.00m,Neymar
13/14,"Jul 1, 2013",Santos FC,FC Barcelona,€50.00m,€88.20m,Neymar
08/09,"Jan 1, 2009",Santos FC U20,Santos FC,-,-,Neymar
17/18,"Aug 31, 2017",Man City U18,Bor. Dortmund,-,€7.84m,Jadon Sancho
16/17,"Jul 1, 2016",Man City Youth,Man City U18,-,-,Jadon Sancho
14/15,"Mar 7, 2015",Watford Yth.,Man City Youth,-,€172Th.,Jadon Sancho
16/17,"Jul 1, 2016",Liverpool U18,Liverpool,-,-,Trent Alexander-Arnold
15/16,"Jul 1, 2015",Liverpool Youth,Liverpool U18,-,-,Trent Alexander-Arnold
16/17,"Jul 1, 2016",Southampton,Liverpool,€20.00m,€41.20m,Sadio Mané
14/15,"Sep 1, 2014",RB Salzburg,Southampton,€7.50m,€23.00m,Sadio Mané
12/13,"Aug 31, 2012",FC Metz,RB Salzburg,€500Th.,€4.00m,Sadio Mané
11/12,"Jan 1, 2012",FC Metz B,FC Metz,-,-,Sadio Mané
11/12,"Jul 1, 2011",Génération Foot,FC Metz B,-,?,Sadio Mané
15/16,"Jul 14, 2015",Liverpool,Man City,€40.00m,€63.70m,Raheem Sterling
12/13,"Jul 1, 2012",Liverpool U18,Liverpool,-,-,Raheem Sterling
09/10,"Feb 16, 2010",QPR U18,Liverpool U18,-,€700Th.,Raheem Sterling
15/16,"Aug 30, 2015",VfL Wolfsburg,Man City,€45.00m,€76.00m,Kevin De Bruyne
13/14,"Jan 18, 2014",Chelsea,VfL Wolfsburg,€15.00m,€22.00m,Kevin De Bruyne
12/13,"Jun 30, 2013",Werder Bremen,Chelsea,€10.00m,End of loan,Kevin De Bruyne
12/13,"Aug 2, 2012",Chelsea,Werder Bremen,€9.00m,Loan fee:€450Th.,Kevin De Bruyne
11/12,"Jun 30, 2012",KRC Genk,Chelsea,€9.00m,End of loan,Kevin De Bruyne
11/12,"Feb 1, 2012",Chelsea,KRC Genk,€9.00m,loan transfer,Kevin De Bruyne
11/12,"Jan 31, 2012",KRC Genk,Chelsea,€9.00m,€8.00m,Kevin De Bruyne
08/09,"Jul 1, 2008",KRC Genk U19,KRC Genk,-,-,Kevin De Bruyne
07/08,"Jul 1, 2007",KRC Genk U17,KRC Genk U19,-,-,Kevin De Bruyne
06/07,"Jul 1, 2006",KRC Genk Youth,KRC Genk U17,-,-,Kevin De Bruyne
05/06,"Jul 1, 2005",KAA Gent Youth,KRC Genk Youth,-,free transfer,Kevin De Bruyne
19/20,"Jan 29, 2020",Sporting CP,Man Utd,€60.00m,€55.00m,Bruno Fernandes
